year,quarter,sold_price_ind,date,mspus,msptfc,constr_price_ind,cpi,ffr,fmr_1,sold_corrected,constr_corrected,sold_corrected_cash,constr_corrected_cash,fmr_corrected,real_ffr
2018,3,132.47,2018-07-01,330900,383900,130.2,251.214,1.91,578.3849431818181,2497.924058277346,2541.4746543778806,2898.0146448252435,2948.540706605223,4.442280669599218,0.007603079446209208
2018,4,135.11,2018-10-01,322800,334800,131.9,252.772,2.19,578.3849431818181,2389.1643845755307,2447.308567096285,2477.980904448227,2538.286580742987,4.38502610448687,0.008663934296520185
2019,1,129.85,2019-01-01,313000,318200,133.4,252.561,2.4,590.4133522727273,2410.473623411629,2346.326836581709,2450.519830573739,2385.3073463268365,4.425887198446231,0.009502654804185919
2019,2,133.92,2019-04-01,322500,325400,133.1,255.233,2.42,590.4133522727273,2408.1541218637994,2422.9902329075885,2429.808841099164,2444.778362133734,4.435862902124172,0.00948153256044477
2019,3,137.66,2019-07-01,318400,369300,134.2,255.802,2.4,590.4133522727273,2312.9449368008136,2372.5782414307005,2682.696498619788,2751.8628912071536,4.399503370139548,0.009382256589080616
2019,4,137.13,2019-10-01,327100,324100,135.5,257.155,1.83,590.4133522727273,2385.327791147087,2414.0221402214024,2363.450740173558,2391.8819188191883,4.357294112713855,0.007116330617720831
2020,1,135.71,2020-01-01,329000,310100,136.4,258.906,1.55,600.9275568181819,2424.2870827499814,2412.023460410557,2285.0195269324295,2273.460410557185,4.40562724940016,0.005986728774149692
2020,2,137.47,2020-04-01,317100,365900,137.5,256.126,0.05,600.9275568181819,2306.6850949298027,2306.181818181818,2661.6716374481707,2661.090909090909,4.370382231404959,1.952164169197973e-4
2020,3,143.25,2020-07-01,327900,302100,140.1,258.408,0.09,600.9275568181819,2289.005235602094,2340.471092077088,2108.9005235602094,2156.316916488223,4.289275923041983,3.482864307606575e-4
2020,4,144.92,2020-10-01,338600,324500,141.8,260.249,0.09,600.9275568181819,2336.461495997792,2387.87023977433,2239.166436654706,2288.434414668547,4.237853010001282,3.458226544578461e-4
2021,1,153.25,2021-01-01,355000,419600,145,262.518,0.09,612.828125,2316.4763458401303,2448.2758620689656,2738.009787928222,2893.793103448276,4.2264008620689655,3.42833634265079e-4
2021,2,159.33,2021-04-01,367800,374400,150.5,266.752,0.07,612.828125,2308.4164940689134,2443.8538205980067,2349.83995481077,2487.7076411960134,4.071947674418604,2.6241602687140117e-4
2021,3,167.29,2021-07-01,395200,368500,156.3,271.994,0.1,612.828125,2362.3647558132584,2528.470889315419,2202.7616713491543,2357.6455534229044,3.9208453294945613,3.6765516886401906e-4
2021,4,174.58,2021-10-01,414000,361300,162.4,276.434,0.08,612.828125,2371.4056592965976,2549.2610837438424,2069.538320540726,2224.753694581281,3.773572198275862,2.89400001447e-4
2022,1,181.48,2022-01-01,413500,369100,170.2,282.39,0.08,634.6960227272727,2278.487987657042,2429.494712103408,2033.8329292484023,2168.6251468860164,3.7291188174340353,2.832961507135522e-4
2022,2,185.39,2022-04-01,437700,451500,176.6,288.764,0.33,634.6960227272727,2360.9687685419926,2478.4824462061156,2435.406440476833,2556.625141562854,3.593975213631216,0.0011428017342882076
2022,3,186.54,2022-07-01,438000,430600,182.6,294.977,1.68,634.6960227272727,2348.021871984561,2398.6856516977,2308.352096065187,2358.15991237678,3.4758818331175947,0.005695359299199599
2022,4,186.74,2022-10-01,442600,383500,191.7,297.863,3.08,634.6960227272727,2370.1403020242046,2308.8158581116327,2053.657491699689,2000.5216484089724,3.31088170436762,0.010340324243024479
2023,1,185.65,2023-01-01,429000,378100,188.6,300.356,4.33,689.40625,2310.7998922704014,2274.6553552492046,2036.6280635604633,2004.7720042417816,3.655388388123012,0.014416226078386982
2023,2,184.15,2023-04-01,418500,388500,183.7,303.032,4.83,689.40625,2272.603855552539,2278.170930865542,2109.693184903611,2114.861186717474,3.7528919433859556,0.015938910742099844
2023,3,198.44,2023-07-01,435400,509000,183.2,304.628,5.12,689.40625,2194.11408990123,2376.637554585153,2565.007055029228,2778.3842794759826,3.763134552401747,0.01680738474467219
2023,4,186.35,2023-10-01,423200,421500,190.8,307.531,5.33,689.40625,2270.995438690636,2218.029350104822,2261.8728199624366,2209.119496855346,3.613240303983228,0.01733158608400454
